@ALLOWAUTOMATICDELETION,@VALIDATED,@WHENUPDATED,@DATEVALIDATED,@EXPORTFLAG,@DESCRIPTION,@NAME,@WHENCREATED,@UNIQUEIDENTIFIER,@TEMPLATE,@TYPE,RCABOVEOBJECT@UNIQUEIDENTIFIER,RCABOVEOBJECT@ANYOBJECTDESTINATION,RCBELOWOBJECT@UNIQUEIDENTIFIER,RCBELOWOBJECT@ANYOBJECTDESTINATION,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED
0,0,2014-10-29T03:21:57,1899-12-30T00:00:00,0,,,2014-10-29T03:21:57,06e9cf785f4d11e4925a6817294aebff,0,,1f2292b55e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,e0a801c35f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:21:57,1899-12-30T00:00:00,0,,,2014-10-29T03:21:57,06e9cf795f4d11e4925a6817294aebff,0,,1f2292b55e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,e8b3c1895f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:21:57,1899-12-30T00:00:00,0,,,2014-10-29T03:21:57,06e9cf7a5f4d11e4925a6817294aebff,0,,1f2292b55e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,e8b3c18a5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:21:57,1899-12-30T00:00:00,0,,,2014-10-29T03:21:57,06e9cf7b5f4d11e4925a6817294aebff,0,,1f2292b55e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,efdb869c5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:21:57,1899-12-30T00:00:00,0,,,2014-10-29T03:21:57,06e9cf7c5f4d11e4925a6817294aebff,0,,1f2292b55e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,efdb869d5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:21:57,1899-12-30T00:00:00,0,,,2014-10-29T03:21:57,06e9cf7d5f4d11e4925a6817294aebff,0,,1f2292b55e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,f72860695f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:21:57,1899-12-30T00:00:00,0,,,2014-10-29T03:21:57,06e9cf7e5f4d11e4925a6817294aebff,0,,1f2292b55e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,f728606a5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:21:57,1899-12-30T00:00:00,0,,,2014-10-29T03:21:57,06e9cf7f5f4d11e4925a6817294aebff,0,,1f2292b55e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,ff045cef5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:21:57,1899-12-30T00:00:00,0,,,2014-10-29T03:21:57,06e9cf805f4d11e4925a6817294aebff,0,,1f2292b55e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,ff045cf05f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:08:03,1899-12-30T00:00:00,0,,,2014-10-29T03:08:03,126c593a5f4b11e4925a6817294aebff,0,,e56b8ede5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,02a3970f5f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:08:03,1899-12-30T00:00:00,0,,,2014-10-29T03:08:03,126c593b5f4b11e4925a6817294aebff,0,,e56b8ede5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,0b45ccab5f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:08:03,1899-12-30T00:00:00,0,,,2014-10-29T03:08:03,126c593c5f4b11e4925a6817294aebff,0,,e56b8ede5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,0b45ccac5f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:08:03,1899-12-30T00:00:00,0,,,2014-10-29T03:08:03,126c593d5f4b11e4925a6817294aebff,0,,e56b8ede5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,126c59395f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:15:19,1899-12-30T00:00:00,0,,,2014-10-29T03:15:19,15e7a3f15f4c11e4925a6817294aebff,0,,617edfdd5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,fe6143215f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:15:19,1899-12-30T00:00:00,0,,,2014-10-29T03:15:19,15e7a3f25f4c11e4925a6817294aebff,0,,617edfdd5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,fe6143225f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:15:19,1899-12-30T00:00:00,0,,,2014-10-29T03:15:19,15e7a3f35f4c11e4925a6817294aebff,0,,617edfdd5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,063773325f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:15:19,1899-12-30T00:00:00,0,,,2014-10-29T03:15:19,15e7a3f45f4c11e4925a6817294aebff,0,,617edfdd5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,063773335f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:15:19,1899-12-30T00:00:00,0,,,2014-10-29T03:15:19,15e7a3f55f4c11e4925a6817294aebff,0,,617edfdd5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,0e1b38055f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:15:19,1899-12-30T00:00:00,0,,,2014-10-29T03:15:19,15e7a3f65f4c11e4925a6817294aebff,0,,617edfdd5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,0e1b38065f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:15:19,1899-12-30T00:00:00,0,,,2014-10-29T03:15:19,15e7a3f75f4c11e4925a6817294aebff,0,,617edfdd5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,15e7a3f05f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:08:44,1899-12-30T00:00:00,0,,,2014-10-29T03:08:44,2b40749b5f4b11e4925a6817294aebff,0,,3059bdb35e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,2b40749a5f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:15:59,1899-12-30T00:00:00,0,,,2014-10-29T03:15:59,2dcaf32c5f4c11e4925a6817294aebff,0,,33d313385f4c11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,1ccd7d0c5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:15:59,1899-12-30T00:00:00,0,,,2014-10-29T03:15:59,2dcaf32d5f4c11e4925a6817294aebff,0,,33d313385f4c11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,25f9cc3e5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:15:59,1899-12-30T00:00:00,0,,,2014-10-29T03:15:59,2dcaf32e5f4c11e4925a6817294aebff,0,,33d313385f4c11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,25f9cc3f5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:15:59,1899-12-30T00:00:00,0,,,2014-10-29T03:15:59,2dcaf32f5f4c11e4925a6817294aebff,0,,33d313385f4c11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,2dcaf32b5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:23:14,1899-12-30T00:00:00,0,,,2014-10-29T03:23:14,34dd2db75f4d11e4925a6817294aebff,0,,53ca5f7a5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,1c42c0ce5f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:23:14,1899-12-30T00:00:00,0,,,2014-10-29T03:23:14,34dd2db85f4d11e4925a6817294aebff,0,,53ca5f7a5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,25f7a2f05f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:23:14,1899-12-30T00:00:00,0,,,2014-10-29T03:23:14,34dd2db95f4d11e4925a6817294aebff,0,,53ca5f7a5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,25f7a2f15f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:23:14,1899-12-30T00:00:00,0,,,2014-10-29T03:23:14,34dd2dba5f4d11e4925a6817294aebff,0,,53ca5f7a5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,2dcd36bd5f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:23:14,1899-12-30T00:00:00,0,,,2014-10-29T03:23:14,34dd2dbb5f4d11e4925a6817294aebff,0,,53ca5f7a5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,2dcd36be5f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:16:30,1899-12-30T00:00:00,0,,,2014-10-29T03:16:30,43e191f75f4c11e4925a6817294aebff,0,,43e191fb5f4c11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,33d313395f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:16:30,1899-12-30T00:00:00,0,,,2014-10-29T03:16:30,43e191f85f4c11e4925a6817294aebff,0,,43e191fb5f4c11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,3c8cefdc5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:16:30,1899-12-30T00:00:00,0,,,2014-10-29T03:16:30,43e191f95f4c11e4925a6817294aebff,0,,43e191fb5f4c11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,3c8cefdd5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:09:21,1899-12-30T00:00:00,0,,,2014-10-29T03:09:21,4426b8b05f4b11e4925a6817294aebff,0,,617edfdc5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,3531763e5f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:09:21,1899-12-30T00:00:00,0,,,2014-10-29T03:09:21,4426b8b15f4b11e4925a6817294aebff,0,,617edfdc5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,3531763f5f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:09:21,1899-12-30T00:00:00,0,,,2014-10-29T03:09:21,4426b8b25f4b11e4925a6817294aebff,0,,617edfdc5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,3cebb9765f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:09:21,1899-12-30T00:00:00,0,,,2014-10-29T03:09:21,4426b8b35f4b11e4925a6817294aebff,0,,617edfdc5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,3cebb9775f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:24:02,1899-12-30T00:00:00,0,,,2014-10-29T03:24:02,516d9bc95f4d11e4925a6817294aebff,0,,9111753d5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,42c78bf05f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:24:02,1899-12-30T00:00:00,0,,,2014-10-29T03:24:02,516d9bca5f4d11e4925a6817294aebff,0,,9111753d5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,42c78bf15f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:24:02,1899-12-30T00:00:00,0,,,2014-10-29T03:24:02,516d9bcb5f4d11e4925a6817294aebff,0,,9111753d5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,4a5eb6445f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:24:02,1899-12-30T00:00:00,0,,,2014-10-29T03:24:02,516d9bcc5f4d11e4925a6817294aebff,0,,9111753d5e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,4a5eb6455f4d11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:16:55,1899-12-30T00:00:00,0,,,2014-10-29T03:16:55,5308ba945f4c11e4925a6817294aebff,0,,3917d35e5e8a11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,4baff9ba5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:16:55,1899-12-30T00:00:00,0,,,2014-10-29T03:16:55,5308ba955f4c11e4925a6817294aebff,0,,3917d35e5e8a11e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,4baff9bb5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:17:44,1899-12-30T00:00:00,0,,,2014-10-29T03:17:44,6c4a18505f4c11e4925a6817294aebff,0,,d33d56135e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,5ab9aed95f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:17:44,1899-12-30T00:00:00,0,,,2014-10-29T03:17:44,6c4a18515f4c11e4925a6817294aebff,0,,d33d56135e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,646bf8e15f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:17:44,1899-12-30T00:00:00,0,,,2014-10-29T03:17:44,6c4a18525f4c11e4925a6817294aebff,0,,d33d56135e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,646bf8e25f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:17:44,1899-12-30T00:00:00,0,,,2014-10-29T03:17:44,6c4a18535f4c11e4925a6817294aebff,0,,d33d56135e8911e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,6c4a184f5f4c11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:10:52,1899-12-30T00:00:00,0,,,2014-10-29T03:10:52,76f5e7965f4b11e4925a6817294aebff,0,,cb16c1495e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,5e9242eb5f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:10:52,1899-12-30T00:00:00,0,,,2014-10-29T03:10:52,76f5e7975f4b11e4925a6817294aebff,0,,cb16c1495e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,675bd7395f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:10:52,1899-12-30T00:00:00,0,,,2014-10-29T03:10:52,76f5e7985f4b11e4925a6817294aebff,0,,cb16c1495e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,675bd73a5f4b11e4925a6817294aebff,PROCESS,32,32,32
0,0,2014-10-29T03:10:52,1899-12-30T00:00:00,0,,,2014-10-29T03:10:52,76f5e7995f4b11e4925a6817294aebff,0,,cb16c1495e8811e4925a6817294aebff,FRAMEWORXBUSINESSSCENARIO,6f2d25375f4b11e4925a6817294aebff,PROCESS,32,32,32
